reference_id,kind,viewport,route,precondition,actual_screenshot,reference_render,diff_png,overlay_png,metric,console_receipt,network_receipt,impl_status,visual_status,reviewer,exception_rationale,final_verdict
desktop/11-exam-lr-annotation-tools,exception,desktop,https://www.xoamutoeic.com/exams/ets-2026-test-1-mq1tovav,,desktop11-annotation-toolbar.png,references/xoamutoeic/screenshots/desktop/11-exam-lr-annotation-tools.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-11-exam-lr-annotation-tools/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-11-exam-lr-annotation-tools/overlay.png,rmse=36.3 diff=76.7%,.agent/evidence/R2-LR/console-network-desktop.txt,.agent/evidence/R2-LR/console-network-desktop.txt,implemented,EXCEPTION,pending,desktop/11 — site defects in current production: Công cụ opens empty dialog,pending
desktop/12-exam-lr-reading-part6-question131,page,desktop,https://www.xoamutoeic.com/exams/ets-2026-test-1-mq1tovav,,desktop12-part6.png,references/xoamutoeic/screenshots/desktop/12-exam-lr-reading-part6-question131.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-12-exam-lr-reading-part6-question131/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-12-exam-lr-reading-part6-question131/overlay.png,rmse=41.8 diff=71.1%,.agent/evidence/R2-LR/console-network-desktop.txt,.agent/evidence/R2-LR/console-network-desktop.txt,implemented,HIGH-DIFF: dims-mismatch,pending,pending,pending
desktop/13-exam-lr-reading-part7-question147,page,desktop,https://www.xoamutoeic.com/exams/ets-2026-test-1-mq1tovav,,desktop13-part7.png,references/xoamutoeic/screenshots/desktop/13-exam-lr-reading-part7-question147.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-13-exam-lr-reading-part7-question147/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-13-exam-lr-reading-part7-question147/overlay.png,rmse=42.6 diff=69.9%,.agent/evidence/R2-LR/console-network-desktop.txt,.agent/evidence/R2-LR/console-network-desktop.txt,implemented,HIGH-DIFF: dims-mismatch,pending,pending,pending
desktop/14-exam-lr-submit-confirm,exception,desktop,,,desktop14-submit-confirm.png,references/xoamutoeic/screenshots/desktop/14-exam-lr-submit-confirm.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-14-exam-lr-submit-confirm/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-14-exam-lr-submit-confirm/overlay.png,rmse=68.1 diff=97.2%,.agent/evidence/R2-LR/console-network-desktop.txt,.agent/evidence/R2-LR/console-network-desktop.txt,implemented,EXCEPTION,pending,desktop/14 — submit-confirm dialog never existed production-side; direct-result is canonical,pending
desktop/15-exam-lr-result-certificate,page,desktop,https://www.xoamutoeic.com/exams/ets-2026-test-1-mq1tovav,,desktop15-result.png,references/xoamutoeic/screenshots/desktop/15-exam-lr-result-certificate.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-15-exam-lr-result-certificate/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-15-exam-lr-result-certificate/overlay.png,rmse=54.3 diff=99.6%,.agent/evidence/R2-LR/console-network-desktop.txt,.agent/evidence/R2-LR/console-network-desktop.txt,implemented,HIGH-DIFF: dims-mismatch,pending,pending,pending
desktop/16-exam-lr-result-table,modal,desktop,https://www.xoamutoeic.com/exams/ets-2026-test-1-mq1tovav,,desktop16-score-table-modal.png,references/xoamutoeic/screenshots/desktop/16-exam-lr-result-table.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-16-exam-lr-result-table/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-16-exam-lr-result-table/overlay.png,rmse=97.4 diff=100.0%,.agent/evidence/R2-LR/console-network-desktop.txt,.agent/evidence/R2-LR/console-network-desktop.txt,implemented,HIGH-DIFF: dims-mismatch,pending,pending,pending
desktop/17-exam-lr-error-map,modal,desktop,https://www.xoamutoeic.com/exams/ets-2026-test-1-mq1tovav,,desktop17-error-map.png,references/xoamutoeic/screenshots/desktop/17-exam-lr-error-map.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-17-exam-lr-error-map/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-17-exam-lr-error-map/overlay.png,rmse=79.9 diff=69.6%,.agent/evidence/R2-LR/console-network-desktop.txt,.agent/evidence/R2-LR/console-network-desktop.txt,implemented,HIGH-DIFF: dims-mismatch,pending,pending,pending
desktop/18-exam-lr-review-detail,modal,desktop,https://www.xoamutoeic.com/exams/ets-2026-test-1-mq1tovav,,desktop18-review-detail.png,references/xoamutoeic/screenshots/desktop/18-exam-lr-review-detail.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-18-exam-lr-review-detail/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-18-exam-lr-review-detail/overlay.png,rmse=64.5 diff=92.8%,.agent/evidence/R2-LR/console-network-desktop.txt,.agent/evidence/R2-LR/console-network-desktop.txt,implemented,HIGH-DIFF: dims-mismatch,pending,pending,pending
desktop/19-history-auth-gate,page,desktop,https://www.xoamutoeic.com/auth,,desktop19-history.png,references/xoamutoeic/screenshots/desktop/19-history-auth-gate.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-19-history-auth-gate/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-19-history-auth-gate/overlay.png,rmse=105.1 diff=90.1%,.agent/evidence/R2-LR/console-network-desktop.txt,.agent/evidence/R2-LR/console-network-desktop.txt,implemented,HIGH-DIFF: dims-mismatch,pending,pending,pending
desktop/20-exam-sw-detail-start,page,desktop,https://www.xoamutoeic.com/speaking-writing/Test1,,desktop20-exam-sw-detail.png,references/xoamutoeic/screenshots/desktop/20-exam-sw-detail-start.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-20-exam-sw-detail-start/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-20-exam-sw-detail-start/overlay.png,rmse=87.6 diff=88.3%,.agent/evidence/R2-SW/console-network-desktop.txt,.agent/evidence/R2-SW/console-network-desktop.txt,implemented,HIGH-DIFF: dims-mismatch,pending,pending,pending
desktop/21-exam-sw-speaking-part1-intro,page,desktop,https://www.xoamutoeic.com/speaking-writing/Test1,,desktop21-exam-sw-mic-setup.png,references/xoamutoeic/screenshots/desktop/21-exam-sw-speaking-part1-intro.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-21-exam-sw-speaking-part1-intro/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-21-exam-sw-speaking-part1-intro/overlay.png,rmse=50.9 diff=42.4%,.agent/evidence/R2-SW/console-network-desktop.txt,.agent/evidence/R2-SW/console-network-desktop.txt,implemented,HIGH-DIFF: dims-mismatch,pending,pending,pending
desktop/22-exam-sw-speaking-directions,page,desktop,https://www.xoamutoeic.com/speaking-writing/Test1,,desktop22-exam-sw-speaking-directions.png,references/xoamutoeic/screenshots/desktop/22-exam-sw-speaking-directions.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-22-exam-sw-speaking-directions/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-22-exam-sw-speaking-directions/overlay.png,rmse=47.4 diff=35.3%,.agent/evidence/R2-SW/console-network-desktop.txt,.agent/evidence/R2-SW/console-network-desktop.txt,implemented,HIGH-DIFF: dims-mismatch,pending,pending,pending
desktop/23-exam-sw-speaking-q1-preparation,page,desktop,https://www.xoamutoeic.com/speaking-writing/Test1,,desktop23-exam-sw-speaking-q1-prep.png,references/xoamutoeic/screenshots/desktop/23-exam-sw-speaking-q1-preparation.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-23-exam-sw-speaking-q1-preparation/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-23-exam-sw-speaking-q1-preparation/overlay.png,rmse=40.2 diff=74.8%,.agent/evidence/R2-SW/console-network-desktop.txt,.agent/evidence/R2-SW/console-network-desktop.txt,implemented,HIGH-DIFF: dims-mismatch,pending,pending,pending
desktop/24-exam-sw-speaking-q3-describe-picture,page,desktop,https://www.xoamutoeic.com/speaking-writing/Test1,,desktop24-exam-sw-speaking-q3-image.png,references/xoamutoeic/screenshots/desktop/24-exam-sw-speaking-q3-describe-picture.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-24-exam-sw-speaking-q3-describe-picture/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-24-exam-sw-speaking-q3-describe-picture/overlay.png,rmse=70.0 diff=84.2%,.agent/evidence/R2-SW/console-network-desktop.txt,.agent/evidence/R2-SW/console-network-desktop.txt,implemented,HIGH-DIFF: dims-mismatch,pending,pending,pending
desktop/25-exam-sw-speaking-q5-respond,page,desktop,https://www.xoamutoeic.com/speaking-writing/Test1,,desktop25-exam-sw-speaking-q5.png,references/xoamutoeic/screenshots/desktop/25-exam-sw-speaking-q5-respond.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-25-exam-sw-speaking-q5-respond/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-25-exam-sw-speaking-q5-respond/overlay.png,rmse=38.4 diff=73.4%,.agent/evidence/R2-SW/console-network-desktop.txt,.agent/evidence/R2-SW/console-network-desktop.txt,implemented,HIGH-DIFF: dims-mismatch,pending,pending,pending
desktop/26-exam-sw-speaking-q8-information,page,desktop,https://www.xoamutoeic.com/speaking-writing/Test1,,desktop26-exam-sw-speaking-q8.png,references/xoamutoeic/screenshots/desktop/26-exam-sw-speaking-q8-information.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-26-exam-sw-speaking-q8-information/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-26-exam-sw-speaking-q8-information/overlay.png,rmse=51.3 diff=79.0%,.agent/evidence/R2-SW/console-network-desktop.txt,.agent/evidence/R2-SW/console-network-desktop.txt,implemented,HIGH-DIFF: dims-mismatch,pending,pending,pending
desktop/27-exam-sw-writing-start,page,desktop,https://www.xoamutoeic.com/writing/Test1,,desktop27-exam-sw-writing-start.png,references/xoamutoeic/screenshots/desktop/27-exam-sw-writing-start.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-27-exam-sw-writing-start/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-27-exam-sw-writing-start/overlay.png,rmse=73.9 diff=59.2%,.agent/evidence/R2-SW/console-network-desktop.txt,.agent/evidence/R2-SW/console-network-desktop.txt,implemented,HIGH-DIFF: dims-mismatch,pending,pending,pending
desktop/28-exam-sw-writing-q1-picture,page,desktop,https://www.xoamutoeic.com/writing/Test1,,desktop28-exam-sw-writing-q1.png,references/xoamutoeic/screenshots/desktop/28-exam-sw-writing-q1-picture.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-28-exam-sw-writing-q1-picture/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-28-exam-sw-writing-q1-picture/overlay.png,rmse=81.8 diff=61.1%,.agent/evidence/R2-SW/console-network-desktop.txt,.agent/evidence/R2-SW/console-network-desktop.txt,implemented,HIGH-DIFF: dims-mismatch,pending,pending,pending
desktop/29-exam-sw-writing-q6-email,page,desktop,https://www.xoamutoeic.com/writing/Test1,,desktop29-exam-sw-writing-q6-email.png,references/xoamutoeic/screenshots/desktop/29-exam-sw-writing-q6-email.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-29-exam-sw-writing-q6-email/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-29-exam-sw-writing-q6-email/overlay.png,rmse=42.5 diff=36.4%,.agent/evidence/R2-SW/console-network-desktop.txt,.agent/evidence/R2-SW/console-network-desktop.txt,implemented,HIGH-DIFF: dims-mismatch,pending,pending,pending
desktop/30-exam-sw-writing-q8-essay,page,desktop,https://www.xoamutoeic.com/writing/Test1,,desktop30-exam-sw-writing-q8-essay.png,references/xoamutoeic/screenshots/desktop/30-exam-sw-writing-q8-essay.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-30-exam-sw-writing-q8-essay/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-30-exam-sw-writing-q8-essay/overlay.png,rmse=41.5 diff=45.2%,.agent/evidence/R2-SW/console-network-desktop.txt,.agent/evidence/R2-SW/console-network-desktop.txt,implemented,HIGH-DIFF: dims-mismatch,pending,pending,pending
desktop/31-exam-sw-ai-processing,page,desktop,https://www.xoamutoeic.com/ai-feedback?type=sw,,desktop31-exam-sw-processing.png,references/xoamutoeic/screenshots/desktop/31-exam-sw-ai-processing.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-31-exam-sw-ai-processing/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/desktop-31-exam-sw-ai-processing/overlay.png,rmse=28.0 diff=76.5%,.agent/evidence/R2-SW/console-network-desktop.txt,.agent/evidence/R2-SW/console-network-desktop.txt,implemented,HIGH-DIFF: dims-mismatch,pending,pending,pending
mobile/01-exams-sw-list-full,mobile,mobile,https://www.xoamutoeic.com/exams?tab=sw,,mobile01-catalog-sw.png,references/xoamutoeic/screenshots/mobile/01-exams-sw-list-full.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/mobile-01-exams-sw-list-full/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/mobile-01-exams-sw-list-full/overlay.png,rmse=95.6 diff=98.7%,.agent/evidence/R2-LR/console-network-mobile.txt,.agent/evidence/R2-LR/console-network-mobile.txt,implemented,HIGH-DIFF: dims-mismatch,pending,pending,pending
mobile/02-exams-lr-list-full,mobile,mobile,https://www.xoamutoeic.com/exams?tab=lr,,mobile02-catalog-lr.png,references/xoamutoeic/screenshots/mobile/02-exams-lr-list-full.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/mobile-02-exams-lr-list-full/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/mobile-02-exams-lr-list-full/overlay.png,rmse=99.1 diff=96.5%,.agent/evidence/R2-LR/console-network-mobile.txt,.agent/evidence/R2-LR/console-network-mobile.txt,implemented,HIGH-DIFF: dims-mismatch,pending,pending,pending
mobile/03-exam-lr-q1,mobile,mobile,https://www.xoamutoeic.com/exams/ets-2026-test-1-mq1tovav,,mobile07-part1-q1.png,references/xoamutoeic/screenshots/mobile/03-exam-lr-q1.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/mobile-03-exam-lr-q1/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/mobile-03-exam-lr-q1/overlay.png,rmse=97.0 diff=90.7%,.agent/evidence/R2-LR/console-network-mobile.txt,.agent/evidence/R2-LR/console-network-mobile.txt,implemented,HIGH-DIFF: dims-mismatch,pending,pending,pending
mobile/04-exam-sw-writing-q1,mobile,mobile,https://www.xoamutoeic.com/writing/Test1,,mobile04-exam-sw-writing-q1.png,references/xoamutoeic/screenshots/mobile/04-exam-sw-writing-q1.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/mobile-04-exam-sw-writing-q1/diff.png,/home/linhnx/Projects/mini-toeic.score/.agent/evidence/R2-VISUAL/states/mobile-04-exam-sw-writing-q1/overlay.png,rmse=107.8 diff=73.0%,.agent/evidence/R2-SW/console-network-mobile.txt,.agent/evidence/R2-SW/console-network-mobile.txt,implemented,HIGH-DIFF: dims-mismatch,pending,pending,pending
