module,impl_files,route_endpoint,positive_test,negative_test,browser_evidence,status
"media (presign+upload+MinIO)","media.adapter.ts:41-97,103-116; toeic.controller.ts:101-119; toeic.service.ts:192-235; toeicMedia.validation.ts","POST /api/toeic-attempts/:id/media/presign","toeicMedia.test.ts:39; :65; :95","toeicMedia.test.ts:126/134/148/163/177/236/266/306/348","R3-MINIO/presign-e2e.txt (PUT 200, sha256 MATCH); minio-listing.txt; sha256-match.txt; R3-SW/minio-listing.txt","PASS"
"submit","toeic.routes.ts:18; toeic.controller.ts:121-131; toeic.service.ts:237-293","POST /api/toeic-attempts/:id/submit","journey.test.ts:217 S7-J7; :234 S7-J7b; security.test.ts:378","security.test.ts:194 (403); :363 alreadySubmitted; :403 rollback","R3-LR/desktop14-submit-confirm.png; R2-FAILURE/12-idempotency.txt (1 job row)","PASS"
"deterministic grading","scorer.service.ts:22-129; toeic.service.ts:266","POST /api/toeic-attempts/:id/submit (LR)","scorer.test.ts:109/83/137/234/275/306/338","scorer.test.ts:39/44/182/193/204","R3-LR/summary.txt scores; desktop15-result-certificate.png","PASS"
"cloudflare grading adapter","adapters/ai-grading.adapter.ts:178-289","internal worker -> CLOUDFLARE_AI_WORKER_URL/api/grade","none (grading.test.ts:36-37 mocks adapter; test double only)","no direct HTTP adapter tests","none; local stack uses AI_GRADING_TEST_MODE=true (R3-SW/summary.txt); docs/06-merge-handoff.md §5","UNAVAILABLE"
"worker queue/retry/idempotency","workers/grading.worker.ts; services/grading.service.ts:97-435","internal toeic_grading_jobs","grading.test.ts:133/118/197/240/328","grading.test.ts:95/107/283/378/404","R2-FAILURE/11-grading.txt; 12-idempotency.txt; R3-SW/summary.txt","PASS"
"processing success/failure","ProcessingPage.tsx:30-104; toeic.service.ts:295-302","GET /api/toeic-attempts/:id/grading-status","journey.test.ts:249 S7-J8; R2-FAILURE/11-grading.txt","journey.test.ts:261 S7-J8b; forced FAILED UI","R2-FAILURE/11-grading-*.png; R3-SW/desktop31-processing.png","PASS"
"result","toeic.routes.ts:20; toeic.controller.ts:146-157; toeic.service.ts:304-331; grading.service.ts:306-331","GET /api/toeic-attempts/:id/result","journey.test.ts:271 S7-J9; api.test.ts:138; R2-BE-TZ verify-live BUG2","api.test.ts:170 (404); security.test.ts:232 (403/404)","R3-LR/desktop15-result-certificate.png; R3-SW/desktop32-exam-sw-result.png","PASS"
"score table","ResultPage.tsx:143,605,659-758","FE (GET /result + /review)","R3-LR/journey-desktop.txt score table modal state; api.test.ts:138 projection","n/a","R3-LR/screenshot-manifest.txt desktop16-score-table-modal.png","PASS"
"review","toeic.routes.ts:21; toeic.controller.ts:159-170; toeic.service.ts:333-353","GET /api/toeic-attempts/:id/review","api.test.ts:75; journey.test.ts:303 S7-J10b","api.test.ts:61; journey.test.ts:293 S7-J10 (403); security.test.ts:232","R3-LR/desktop18-review-detail.png; R2-FAILURE/09-xss-review.png","PASS"
"error map","ErrorMapPage.tsx; App.tsx:23","FE /thi-thu/ket-qua/:attemptId/chi-tiet","R3-LR/journey-desktop.txt error-map state","n/a","R3-LR/screenshot-manifest.txt desktop17-error-map.png","PASS"
"history","toeic.routes.ts:15; toeic.controller.ts:172-180; toeic.service.ts:355-361; HistoryPage.tsx:52-70","GET /api/toeic-attempts","journey.test.ts:318 S7-J11 owned attempts only","S7-J11 scope; HistoryPage 401 gate","R3-SW/desktop33-exam-sw-history-review.png; R3-FE-FIX/history-gate.png; R2-FAILURE/13-logout-history.png","PASS"
"ownership","auth.middleware.ts; toeic.service.ts:97,132,194,243,309,335,357","all protected /api/toeic-*","security.test.ts:82; journey.test.ts:131 S7-J3","security.test.ts:57/63/182/194/211/222/232; integration.test.ts:26; auth.test.ts:74","R2-FAILURE/01-401-unauth.* 02-403-ownership.* 03-404-missing.txt; R3-SECURITY/jti-revocation.txt","PASS"
"rate limiting","server.ts:71-95; server.ts:22-46 (trust proxy)","per-route middleware /api/*","R2-FAILURE/05-429-rate-limit.txt (429 @18th login, Retry-After); server.test.ts:70","R2-FAILURE/05-429-rate-limit.txt; auth.test.ts:88 trust-proxy","R2-FAILURE/05-429-rate-limit.png + -ui.txt; R3-LR/summary.txt finding [8]","PASS"
"offline/error/empty/loading","attemptStore.ts:21,248-250,324-333; attemptStorage.ts:139-165; CatalogStates.tsx; ProcessingPage.tsx:50-59","FE states","R3-OFFLINE/verify.txt (a) cached catalog + banner PASS","R3-OFFLINE/verify.txt (b) fresh offline error card; R2-FAILURE 08-timeout 10-mic-denied","R3-OFFLINE/offline-cached.png offline-fresh.png; R2-FAILURE/07-*.png 08-timeout-*.png 10-mic-denied.png","PASS"
"health/readiness","server.ts:66-68","GET /api/health","server.test.ts:47; journey.test.ts:94 S7-J0; proxy-smoke.test.ts:66","server.test.ts:94 fail-fast DB_HOST invalid","R3-SECURITY/health.txt HTTP 200 ok; R3-FE-FIX/verify.txt","PASS"
"migration/seed","migrations/runner.ts:19-70; 001_schema.up.sql; 002_media_columns.up.sql; seed.ts:590-741","CLI dist/migrations/{runner,seed}.js","migrations.test.ts:45; R2-SEED/migration-empty.txt; R3-SEEDFIX/idempotency.txt","R3-SEEDFIX/guard-test.txt (prod without ALLOW_PRODUCTION_SEED+--force exit 1); R2-SEED/guard.txt","R2-RELEASE/summary.txt (14 tables/37 questions); R2-SEED/seed-rows.sql.out","PASS"
"nginx/PM2","nginx/nginx.conf; nginx/audio-config.conf; ecosystem.config.cjs","infra","R2-RELEASE/pm2.txt (PM2_RC=0, 2 apps); R2-ECOSYSTEM-FIX/verify.txt; docs/04 §2/§7","server.test.ts:112-129 worker env fails closed","R2-RELEASE/nginx.txt (nginx binary VPS-only, documented N/A); pm2.txt; docs/04-infra-nginx-pm2-validation.md","PASS"
"runbook/release handoff","docs/05-runbook.md; docs/06-merge-handoff.md; scripts/deploy.sh update.sh pull-update.sh","docs/scripts","R2-RELEASE/summary.txt clean build; R2-RELEASE-RECHECK/test-results.txt 135/135","n/a","R2-RELEASE/snapshot-manifest.txt build.txt test-results.txt; R2-RELEASE-RECHECK/summary.txt","PASS"
